"Date","HospitalValue","BoardValue","NationalValue",
"31 May 2021","0.310","0.228","0.260",
"30 Apr 2021","0.349","0.260","0.267",
"31 Mar 2021","0.359","0.267","0.295",
"28 Feb 2021","0.378","0.297","0.315",
"31 Jan 2021","0.403","0.314","0.318",
"31 Dec 2020","0.354","0.273","0.298",
"31 Oct 2020","0.313","0.230","0.281",
"30 Sep 2020","0.284","0.198","0.259",
"31 Aug 2020","0.308","0.213","0.254",
"31 Jul 2020","0.302","0.221","0.268",
"30 Jun 2020","0.426","0.279","0.280",
"31 May 2020","0.546","0.331","0.295",
"30 Apr 2020","0.502","0.332","0.321",
"31 Mar 2020","0.309","0.196","0.262",
"29 Feb 2020","0.271","0.176","0.248",
"31 Jan 2020","0.266","0.178","0.253",
"31 Dec 2019","0.274","0.182","0.258",
"30 Nov 2019","0.256","0.179","0.252",
"31 Oct 2019","0.270","0.176","0.247",
"30 Sep 2019","0.255","0.158","0.231",
"31 Aug 2019","0.260","0.162","0.226",
"31 Jul 2019","0.258","0.163","0.228",
"30 Jun 2019","0.251","0.152","0.227",
"31 May 2019","0.264","0.153","0.230",
"30 Apr 2019","0.278","0.168","0.230",
"31 Mar 2019","0.255","0.151","0.237",
"28 Feb 2019","0.261","0.163","0.241",
"31 Jan 2019","0.282","0.167","0.253",
"31 Dec 2018","0.272","0.170","0.254",
"30 Nov 2018","0.258","0.163","0.244",
"31 Oct 2018","0.265","0.169","0.239",
"30 Sep 2018","0.265","0.157","0.226",
"31 Aug 2018","0.265","0.159","0.226",
"31 Jul 2018","0.260","0.154","0.217",
"30 Jun 2018","0.259","0.147","0.214",
"31 May 2018","0.270","0.154","0.214",
"30 Apr 2018","0.266","0.158","0.231",
"31 Mar 2018","0.275","0.173","0.242",
"28 Feb 2018","0.270","0.167","0.246",
"31 Jan 2018","0.291","0.178","0.259",
"31 Dec 2017","0.277","0.175","0.253",
"30 Nov 2017","0.290","0.177","0.243",
"31 Oct 2017","0.254","0.157","0.235",
"30 Sep 2017","0.257","0.154","0.229",
"31 Aug 2017","0.246","0.147","0.223",
"31 Jul 2017","0.268","0.158","0.226",
"01 Jun 2017","0.251","0.150","0.225",
"31 May 2017","0.252","0.149","0.222",
"30 Apr 2017","0.281","0.164","0.231",
"01 Mar 2017","0.270","0.163","0.236",
"01 Feb 2017","0.276","0.170","0.251",
"01 Jan 2017","0.303","0.180","0.256",
"01 Dec 2016","0.296","0.183","0.255",
"01 Nov 2016","0.283","0.172","0.245",
"01 Oct 2016","0.279","0.174","0.239",
"01 Sep 2016","0.263","0.151","0.225",
"01 Aug 2016","0.254","0.154","0.225",
"01 Jul 2016","0.259","0.156","0.231",
"01 Jun 2016","0.261","0.147","0.221",
"01 May 2016","0.262","0.151","0.222",
"01 Apr 2016","0.274","0.165","0.241",
"01 Mar 2016","0.272","0.160","0.238",
"01 Feb 2016","0.274","0.167","0.246",
"01 Jan 2016","0.309","0.180","0.256",
"01 Dec 2015","0.281","0.170","0.263",
"01 Nov 2015","0.272","0.174","0.251",
"01 Oct 2015","0.263","0.172","0.243",
"01 Sep 2015","0.234","0.156","0.232",
"01 Aug 2015","0.259","0.163","0.231",
"01 Jul 2015","0.271","0.166","0.237",
"01 Jun 2015","0.261","0.160","0.231",
"01 May 2015","0.258","0.164","0.242",
"01 Apr 2015","0.268","0.171","0.246",
"31 Mar 2015","0.259","0.172","0.251",
"28 Feb 2015","0.258","0.177","0.259",
"31 Jan 2015","0.288","0.194","0.268",
"31 Dec 2014","0.274","0.186","0.270",
"30 Nov 2014","0.256","0.173","0.252",
"31 Oct 2014","0.253","0.170","0.251",
"30 Sep 2014","0.237","0.157","0.232",
"31 Aug 2014","0.243","0.157","0.236",
"31 Jul 2014","0.236","0.155","0.230",
"30 Jun 2014","0.242","0.150","0.228",
"31 May 2014","0.256","0.160","0.237",
"30 Apr 2014","0.254","0.163","0.243",
"31 Mar 2014","0.251","0.168","0.243",
"28 Feb 2014","0.267","0.185","0.257",
"31 Jan 2014","0.269","0.189","0.269",
