"Date","HospitalValue","BoardValue","NationalValue",
"01 Apr 2021","0.045","0.057","0.061",
"01 Mar 2021","0.039","0.052","0.063",
"01 Feb 2021","0.040","0.057","0.071",
"01 Jan 2021","0.046","0.084","0.082",
"01 Dec 2020","0.065","0.068","0.075",
"01 Nov 2020","0.093","0.081","0.074",
"01 Oct 2020","0.050","0.072","0.076",
"01 Sep 2020","0.039","0.062","0.066",
"01 Aug 2020","0.039","0.073","0.071",
"01 Jul 2020","0.034","0.048","0.062",
"01 Jun 2020","0.035","0.054","0.067",
"01 May 2020","0.054","0.054","0.075",
"01 Apr 2020","0.133","0.112","0.134",
"01 Mar 2020","0.146","0.123","0.150",
"01 Feb 2020","0.086","0.076","0.090",
"01 Jan 2020","0.101","0.099","0.095",
"01 Dec 2019","0.122","0.100","0.101",
"01 Nov 2019","0.107","0.085","0.091",
"01 Oct 2019","0.092","0.084","0.085",
"01 Sep 2019","0.076","0.080","0.087",
"01 Aug 2019","0.054","0.068","0.084",
"01 Jul 2019","0.059","0.073","0.087",
"01 Jun 2019","0.087","0.073","0.087",
"01 May 2019","0.081","0.076","0.083",
"01 Apr 2019","0.085","0.076","0.085",
"01 Mar 2019","0.097","0.076","0.084",
"01 Feb 2019","0.100","0.077","0.088",
"01 Jan 2019","0.078","0.085","0.095",
"01 Dec 2018","0.096","0.079","0.091",
"01 Nov 2018","0.111","0.145","0.098",
"01 Oct 2018","0.098","0.081","0.085",
"01 Sep 2018","0.089","0.079","0.086",
"01 Aug 2018","0.066","0.078","0.086",
"01 Jul 2018","0.073","0.081","0.092",
"30 Jun 2018","0.084","0.077","0.081",
"31 May 2018","0.091","0.076","0.080",
"30 Apr 2018","0.088","0.076","0.090",
"31 Mar 2018","0.093","0.124","0.126",
"28 Feb 2018","0.094","0.093","0.103",
"31 Jan 2018","0.094","0.111","0.123",
"31 Dec 2017","0.114","0.103","0.108",
"30 Nov 2017","0.077","0.083","0.088",
"31 Oct 2017","0.086","0.078","0.085",
"30 Sep 2017","0.078","0.084","0.092",
"31 Aug 2017","0.085","0.078","0.084",
"31 Jul 2017","0.077","0.079","0.082",
"30 Jun 2017","0.074","0.085","0.088",
"31 May 2017","0.074","0.085","0.088",
"30 Apr 2017","0.111","0.095","0.094",
"31 Mar 2017","0.080","0.081","0.091",
"28 Feb 2017","0.088","0.085","0.093",
"31 Jan 2017","0.088","0.089","0.098",
"31 Dec 2016","0.120","0.099","0.101",
"30 Nov 2016","0.094","0.087","0.090",
"31 Oct 2016","0.085","0.088","0.093",
"30 Sep 2016","0.088","0.090","0.093",
"31 Aug 2016","0.087","0.090","0.092",
"31 Jul 2016","0.081","0.083","0.089",
"30 Jun 2016","0.095","0.085","0.095",
"31 May 2016","0.081","0.087","0.092",
"30 Apr 2016","0.094","0.086","0.094",
"31 Mar 2016","0.121","0.097","0.101",
"29 Feb 2016","0.107","0.094","0.103",
"31 Jan 2016","0.113","0.101","0.111",
"31 Dec 2015","0.135","0.092","0.098",
"30 Nov 2015","0.106","0.090","0.096",
"31 Oct 2015","0.089","0.094","0.097",
"30 Sep 2015","0.083","0.079","0.091",
"31 Aug 2015","0.092","0.077","0.091",
"31 Jul 2015","0.062","0.072","0.095",
"30 Jun 2015","0.081","0.071","0.090",
"31 May 2015","0.075","0.075","0.094",
