"Date","HospitalValue","BoardValue","NationalValue",
"31 May 2021","48.000","552.000","1782.000",
"30 Apr 2021","29.000","242.000","1180.000",
"31 Mar 2021","40.000","338.000","1388.000",
"28 Feb 2021","64.000","474.000","1786.000",
"31 Jan 2021","34.000","291.000","1978.000",
"31 Dec 2020","92.000","481.000","2289.000",
"31 Oct 2020","56.000","231.000","1409.000",
"30 Sep 2020","31.000","204.000","782.000",
"31 Aug 2020","17.000","96.000","548.000",
"31 Jul 2020","11.000","66.000","302.000",
"30 Jun 2020","7.000","70.000","263.000",
"31 May 2020","1.000","26.000","171.000",
"30 Apr 2020","9.000","28.000","163.000",
"31 Mar 2020","53.000","428.000","1512.000",
"29 Feb 2020","140.000","1039.000","3161.000",
"31 Jan 2020","233.000","1004.000","3479.000",
"31 Dec 2019","124.000","900.000","3899.000",
"30 Nov 2019","204.000","1086.000","3320.000",
"31 Oct 2019","96.000","637.000","2467.000",
"30 Sep 2019","77.000","407.000","1618.000",
"31 Aug 2019","56.000","211.000","1406.000",
"31 Jul 2019","39.000","182.000","1180.000",
"30 Jun 2019","42.000","293.000","1283.000",
"31 May 2019","19.000","225.000","1163.000",
"30 Apr 2019","28.000","289.000","1391.000",
"31 Mar 2019","23.000","263.000","1107.000",
"28 Feb 2019","77.000","441.000","1639.000",
"31 Jan 2019","158.000","573.000","2230.000",
"31 Dec 2018","65.000","367.000","1362.000",
"30 Nov 2018","62.000","198.000","1218.000",
"31 Oct 2018","64.000","288.000","969.000",
"30 Sep 2018","73.000","463.000","1116.000",
"31 Aug 2018","49.000","332.000","805.000",
"31 Jul 2018","37.000","243.000","603.000",
"30 Jun 2018","46.000","345.000","764.000",
"31 May 2018","35.000","369.000","662.000",
"30 Apr 2018","41.000","682.000","1682.000",
"31 Mar 2018","79.000","1214.000","2577.000",
"28 Feb 2018","56.000","504.000","1210.000",
"31 Jan 2018","117.000","909.000","3170.000",
"31 Dec 2017","127.000","931.000","3305.000",
"30 Nov 2017","16.000","442.000","929.000",
"31 Oct 2017","17.000","211.000","667.000",
"30 Sep 2017","9.000","238.000","774.000",
"31 Aug 2017","13.000","122.000","356.000",
"31 Jul 2017","6.000","104.000","278.000",
"01 Jun 2017","4.000","137.000","371.000",
"31 May 2017","5.000","166.000","704.000",
"30 Apr 2017","7.000","169.000","689.000",
"01 Mar 2017","6.000","121.000","661.000",
"01 Feb 2017","11.000","359.000","1111.000",
"01 Jan 2017","26.000","391.000","1480.000",
"01 Dec 2016","23.000","326.000","891.000",
"01 Nov 2016","6.000","176.000","730.000",
"01 Oct 2016","36.000","267.000","742.000",
"01 Sep 2016","7.000","254.000","542.000",
"01 Aug 2016","11.000","178.000","391.000",
"01 Jul 2016","11.000","38.000","287.000",
"01 Jun 2016","10.000","113.000","368.000",
"01 May 2016","16.000","278.000","574.000",
"01 Apr 2016","16.000","307.000","568.000",
"01 Mar 2016","34.000","410.000","958.000",
"01 Feb 2016","59.000","562.000","1085.000",
"01 Jan 2016","42.000","626.000","1635.000",
"01 Dec 2015","11.000","355.000","631.000",
"01 Nov 2015","8.000","273.000","577.000",
"01 Oct 2015","9.000","158.000","527.000",
"01 Sep 2015","7.000","258.000","507.000",
"01 Aug 2015","6.000","134.000","401.000",
"01 Jul 2015","7.000","227.000","402.000",
"01 Jun 2015","10.000","135.000","579.000",
"01 May 2015","13.000","172.000","864.000",
"01 Apr 2015","19.000","170.000","840.000",
"31 Mar 2015","34.000","232.000","1058.000",
"28 Feb 2015","46.000","298.000","2754.000",
"31 Jan 2015","77.000","579.000","3215.000",
"31 Dec 2014","27.000","195.000","1717.000",
"30 Nov 2014","16.000","99.000","1178.000",
"31 Oct 2014","21.000","178.000","1132.000",
"30 Sep 2014","17.000","147.000","812.000",
"31 Aug 2014","11.000","198.000","720.000",
"31 Jul 2014","4.000","77.000","389.000",
"30 Jun 2014","2.000","59.000","571.000",
"31 May 2014","4.000","83.000","789.000",
"30 Apr 2014","4.000","100.000","696.000",
"31 Mar 2014","20.000","231.000","742.000",
"28 Feb 2014","10.000","176.000","877.000",
"31 Jan 2014","4.000","283.000","944.000",
