"Date","HospitalValue","BoardValue","NationalValue",
"31 May 2021","0.321","0.258","0.260",
"30 Apr 2021","0.319","0.255","0.267",
"31 Mar 2021","0.342","0.281","0.295",
"28 Feb 2021","0.355","0.297","0.315",
"31 Jan 2021","0.363","0.302","0.318",
"31 Dec 2020","0.342","0.276","0.298",
"31 Oct 2020","0.324","0.245","0.281",
"30 Sep 2020","0.294","0.213","0.259",
"31 Aug 2020","0.299","0.223","0.254",
"31 Jul 2020","0.307","0.229","0.268",
"30 Jun 2020","0.323","0.245","0.280",
"31 May 2020","0.332","0.255","0.295",
"30 Apr 2020","0.340","0.253","0.321",
"31 Mar 2020","0.319","0.236","0.262",
"29 Feb 2020","0.319","0.239","0.248",
"31 Jan 2020","0.311","0.232","0.253",
"31 Dec 2019","0.320","0.248","0.258",
"30 Nov 2019","0.321","0.241","0.252",
"31 Oct 2019","0.321","0.243","0.247",
"30 Sep 2019","0.293","0.213","0.231",
"31 Aug 2019","0.301","0.217","0.226",
"31 Jul 2019","0.289","0.208","0.228",
"30 Jun 2019","0.301","0.218","0.227",
"31 May 2019","0.289","0.210","0.230",
"30 Apr 2019","0.302","0.220","0.230",
"31 Mar 2019","0.312","0.230","0.237",
"28 Feb 2019","0.320","0.234","0.241",
"31 Jan 2019","0.319","0.240","0.253",
"31 Dec 2018","0.330","0.255","0.254",
"30 Nov 2018","0.297","0.219","0.244",
"31 Oct 2018","0.302","0.222","0.239",
"30 Sep 2018","0.288","0.208","0.226",
"31 Aug 2018","0.290","0.206","0.226",
"31 Jul 2018","0.286","0.206","0.217",
"30 Jun 2018","0.287","0.204","0.214",
"31 May 2018","0.289","0.206","0.214",
"30 Apr 2018","0.306","0.225","0.231",
"31 Mar 2018","0.316","0.235","0.242",
"28 Feb 2018","0.311","0.227","0.246",
"31 Jan 2018","0.316","0.239","0.259",
"31 Dec 2017","0.313","0.234","0.253",
"30 Nov 2017","0.318","0.229","0.243",
"31 Oct 2017","0.312","0.227","0.235",
"30 Sep 2017","0.289","0.206","0.229",
"31 Aug 2017","0.289","0.205","0.223",
"31 Jul 2017","0.281","0.204","0.226",
"01 Jun 2017","0.285","0.199","0.225",
"31 May 2017","0.281","0.195","0.222",
"30 Apr 2017","0.285","0.206","0.231",
"01 Mar 2017","0.264","0.184","0.236",
"01 Feb 2017","0.265","0.189","0.251",
"01 Jan 2017","0.268","0.194","0.256",
"01 Dec 2016","0.279","0.205","0.255",
"01 Nov 2016","0.272","0.193","0.245",
"01 Oct 2016","0.281","0.201","0.239",
"01 Sep 2016","0.257","0.179","0.225",
"01 Aug 2016","0.254","0.177","0.225",
"01 Jul 2016","0.253","0.179","0.231",
"01 Jun 2016","0.244","0.168","0.221",
"01 May 2016","0.244","0.170","0.222",
"01 Apr 2016","0.279","0.198","0.241",
"01 Mar 2016","0.277","0.196","0.238",
"01 Feb 2016","0.268","0.189","0.246",
"01 Jan 2016","0.270","0.198","0.256",
"01 Dec 2015","0.299","0.218","0.263",
"01 Nov 2015","0.267","0.189","0.251",
"01 Oct 2015","0.263","0.185","0.243",
"01 Sep 2015","0.255","0.177","0.232",
"01 Aug 2015","0.251","0.173","0.231",
"01 Jul 2015","0.252","0.178","0.237",
"01 Jun 2015","0.233","0.161","0.231",
"01 May 2015","0.232","0.161","0.242",
"01 Apr 2015","0.245","0.169","0.246",
"31 Mar 2015","0.238","0.169","0.251",
"28 Feb 2015","0.248","0.178","0.259",
"31 Jan 2015","0.267","0.197","0.268",
"31 Dec 2014","0.271","0.203","0.270",
"30 Nov 2014","0.272","0.199","0.252",
"31 Oct 2014","0.269","0.191","0.251",
"30 Sep 2014","0.240","0.168","0.232",
"31 Aug 2014","0.261","0.185","0.236",
"31 Jul 2014","0.252","0.182","0.230",
"30 Jun 2014","0.258","0.184","0.228",
"31 May 2014","0.250","0.180","0.237",
"30 Apr 2014","0.244","0.176","0.243",
"31 Mar 2014","0.252","0.180","0.243",
"28 Feb 2014","0.271","0.195","0.257",
"31 Jan 2014","0.274","0.204","0.269",
