"Date","BoardValue","NationalValue",
"31 Mar 2021","0.547","0.614",
"28 Feb 2021","0.516","0.578",
"31 Jan 2021","0.547","0.520",
"31 Dec 2020","0.665","0.559",
"30 Nov 2020","0.693","0.572",
"31 Oct 2020","0.680","0.523",
"30 Sep 2020","0.676","0.533",
"31 Aug 2020","0.644","0.493",
"31 Jul 2020","0.613","0.429",
"30 Jun 2020","0.655","0.354",
"31 May 2020","0.480","0.279",
"30 Apr 2020","0.401","0.284",
"31 Mar 2020","0.938","0.758",
"29 Feb 2020","0.881","0.847",
"01 Jan 2020","0.805","0.792",
"01 Dec 2019","0.790","0.795",
"01 Nov 2019","0.850","0.828",
"01 Oct 2019","0.835","0.808",
"01 Sep 2019","0.928","0.823",
"01 Aug 2019","0.914","0.804",
"01 Jul 2019","0.911","0.795",
"01 Jun 2019","0.917","0.816",
"01 May 2019","0.930","0.811",
"01 Apr 2019","0.938","0.822",
"01 Mar 2019","0.938","0.840",
"01 Feb 2019","0.940","0.836",
"01 Jan 2019","0.779","0.765",
"01 Dec 2018","0.610","0.781",
"01 Nov 2018","0.628","0.805",
"01 Oct 2018","0.680","0.782",
"01 Sep 2018","0.679","0.781",
"01 Aug 2018","0.685","0.766",
"01 Jul 2018","0.661","0.757",
"01 Jun 2018","0.715","0.787",
"01 May 2018","0.772","0.800",
"01 Apr 2018","0.686","0.785",
"01 Mar 2018","0.743","0.806",
"01 Feb 2018","0.800","0.822",
"01 Jan 2018","0.791","0.773",
"01 Dec 2017","0.847","0.793",
"01 Nov 2017","0.840","0.824",
"01 Oct 2017","0.834","0.805",
"01 Sep 2017","0.859","0.816",
"01 Aug 2017","0.921","0.816",
"01 Jul 2017","0.945","0.815",
"01 Jun 2017","0.969","0.829",
"01 May 2017","0.969","0.832",
"01 Apr 2017","0.962","0.831",
"01 Mar 2017","0.995","0.867",
"01 Feb 2017","0.971","0.874",
"01 Jan 2017","0.966","0.840",
"01 Dec 2016","0.990","0.861",
"01 Nov 2016","0.982","0.886",
"01 Oct 2016","0.973","0.885",
"01 Sep 2016","0.975","0.901",
"01 Aug 2016","0.971","0.905",
"01 Jul 2016","0.978","0.896",
"01 Jun 2016","0.968","0.922",
"01 May 2016","0.940","0.934",
"01 Apr 2016","0.954","0.928",
"01 Mar 2016","0.988","0.946",
"01 Feb 2016","1.000","0.947",
"01 Jan 2016","0.991","0.916",
"01 Dec 2015","0.995","0.932",
"01 Nov 2015","0.992","0.941",
"01 Oct 2015","0.987","0.910",
"01 Sep 2015","0.986","0.903",
"01 Aug 2015","0.996","0.889",
"01 Jul 2015","0.876","0.875",
"01 Jun 2015","0.998","0.893",
"01 May 2015","1.000","0.893",
"01 Apr 2015","0.999","0.884",
"31 Mar 2015","1.000","0.912",
"28 Feb 2015","1.000","0.917",
"31 Jan 2015","0.961","0.884",
"31 Dec 2014","0.960","0.903",
"30 Nov 2014","0.997","0.928",
"31 Oct 2014","0.993","0.916",
"30 Sep 2014","0.999","0.910",
"31 Aug 2014","0.999","0.895",
"31 Jul 2014","0.998","0.903",
"30 Jun 2014","1.000","0.919",
"31 May 2014","1.000","0.923",
"30 Apr 2014","0.999","0.924",
"31 Mar 2014","0.997","0.954",
"28 Feb 2014","1.000","0.967",
"31 Jan 2014","1.000","0.954",
